TL_x,TL_y,BR_x,BR_y,confidence,class,focus_region_TL_x,focus_region_TL_y,local_idx,focus_region_idx
182.0,29.0,280.0,124.0,0.8221651911735535,0.0,104960,60416,0,3316
326.0,336.0,420.0,428.0,0.7721613049507141,0.0,104960,60416,1,3316
228.0,0.0,280.0,35.0,0.772139310836792,0.0,104960,60416,2,3316
433.0,405.0,489.0,458.0,0.7663231492042542,0.0,104960,60416,3,3316
351.0,461.0,402.0,510.0,0.7652565240859985,0.0,104960,60416,4,3316
424.0,190.0,477.0,240.0,0.751218855381012,0.0,104960,60416,5,3316
285.0,263.0,341.0,318.0,0.7299290299415588,0.0,104960,60416,6,3316
21.0,433.0,101.0,512.0,0.7058188915252686,0.0,104960,60416,7,3316
370.0,402.0,459.0,490.0,0.6903748512268066,0.0,104960,60416,8,3316
24.0,279.0,81.0,332.0,0.6848581433296204,0.0,104960,60416,9,3316
412.0,131.0,478.0,195.0,0.6841625571250916,0.0,104960,60416,10,3316
461.0,448.0,512.0,505.0,0.6375792026519775,0.0,104960,60416,11,3316
423.0,336.0,482.0,393.0,0.6319353580474854,0.0,104960,60416,12,3316
54.0,134.0,111.0,190.0,0.6269864439964294,0.0,104960,60416,13,3316
0.0,85.0,38.0,142.0,0.6251235604286194,0.0,104960,60416,14,3316
237.0,16.0,293.0,70.0,0.6217445731163025,0.0,104960,60416,15,3316
7.0,325.0,66.0,378.0,0.6144002676010132,0.0,104960,60416,16,3316
317.0,123.0,377.0,180.0,0.613964319229126,0.0,104960,60416,17,3316
305.0,47.0,369.0,110.0,0.6061326265335083,0.0,104960,60416,18,3316
483.0,421.0,512.0,463.0,0.5976587533950806,0.0,104960,60416,19,3316
45.0,322.0,102.0,378.0,0.5824012756347656,0.0,104960,60416,20,3316
248.0,307.0,341.0,399.0,0.5736053586006165,0.0,104960,60416,21,3316
410.0,0.0,464.0,49.0,0.556877613067627,0.0,104960,60416,22,3316
209.0,111.0,271.0,172.0,0.5535206198692322,0.0,104960,60416,23,3316
386.0,98.0,444.0,155.0,0.5424396395683289,0.0,104960,60416,24,3316
290.0,383.0,341.0,434.0,0.5363777279853821,0.0,104960,60416,25,3316
351.0,144.0,409.0,198.0,0.530113935470581,0.0,104960,60416,26,3316
0.0,129.0,49.0,186.0,0.5284020304679871,0.0,104960,60416,27,3316
169.0,100.0,233.0,164.0,0.5247024297714233,0.0,104960,60416,28,3316
301.0,182.0,385.0,265.0,0.5245645046234131,0.0,104960,60416,29,3316
301.0,475.0,367.0,512.0,0.5239384770393372,0.0,104960,60416,30,3316
350.0,184.0,424.0,255.0,0.5187642574310303,0.0,104960,60416,31,3316
137.0,195.0,203.0,260.0,0.4983256161212921,0.0,104960,60416,32,3316
220.0,85.0,283.0,146.0,0.4935769140720367,0.0,104960,60416,33,3316
284.0,92.0,350.0,156.0,0.4813038408756256,0.0,104960,60416,34,3316
363.0,230.0,445.0,312.0,0.471388429403305,0.0,104960,60416,35,3316
9.0,187.0,100.0,275.0,0.4609826505184173,0.0,104960,60416,36,3316
310.0,245.0,377.0,310.0,0.451021671295166,0.0,104960,60416,37,3316
12.0,0.0,110.0,53.0,0.442729115486145,0.0,104960,60416,38,3316
0.0,5.0,36.0,66.0,0.4316807091236114,0.0,104960,60416,39,3316
397.0,37.0,454.0,91.0,0.4308071434497833,0.0,104960,60416,40,3316
251.0,188.0,334.0,271.0,0.4246838986873626,0.0,104960,60416,41,3316
213.0,253.0,288.0,324.0,0.3925182819366455,0.0,104960,60416,42,3316
169.0,0.0,236.0,57.0,0.3919426500797272,0.0,104960,60416,43,3316
0.0,240.0,35.0,304.0,0.3881298303604126,0.0,104960,60416,44,3316
255.0,44.0,330.0,114.0,0.3762708008289337,0.0,104960,60416,45,3316
258.0,129.0,335.0,204.0,0.3621138334274292,0.0,104960,60416,46,3316
276.0,23.0,338.0,82.0,0.36055588722229,0.0,104960,60416,47,3316
180.0,329.0,246.0,395.0,0.3536788523197174,0.0,104960,60416,48,3316
0.0,47.0,23.0,103.0,0.3487192094326019,0.0,104960,60416,49,3316
460.0,166.0,512.0,233.0,0.3388882577419281,0.0,104960,60416,50,3316
59.0,454.0,133.0,512.0,0.3381580114364624,0.0,104960,60416,51,3316
467.0,319.0,512.0,389.0,0.3296129405498504,0.0,104960,60416,52,3316
80.0,170.0,151.0,239.0,0.3278818130493164,0.0,104960,60416,53,3316
404.0,486.0,461.0,512.0,0.3171210587024688,0.0,104960,60416,54,3316
29.0,71.0,103.0,141.0,0.3167210519313812,0.0,104960,60416,55,3316
276.0,431.0,336.0,494.0,0.3024474382400512,0.0,104960,60416,56,3316
431.0,106.0,491.0,164.0,0.2998548448085785,0.0,104960,60416,57,3316
320.0,405.0,394.0,478.0,0.2896679043769836,0.0,104960,60416,58,3316
173.0,286.0,241.0,351.0,0.2724370062351227,0.0,104960,60416,59,3316
214.0,183.0,277.0,246.0,0.2693721652030945,0.0,104960,60416,60,3316
411.0,443.0,480.0,509.0,0.2628657519817352,0.0,104960,60416,61,3316
